state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio,year
Johor,both,2019-01-01,1805.7,1756.1,49.6,761.6,70.3,2.7,67.3,2019
Johor,both,2020-01-01,1990.9,1920.5,70.3,826.9,70.7,3.5,68.4,2020
Johor,both,2021-01-01,1986.7,1913.2,73.5,832.1,70.5,3.7,68.0,2021
Johor,both,2022-01-01,2013.4,1949.2,64.2,818.2,71.1,3.2,68.9,2022
Johor,female,2019-01-01,682.3,665.2,17.1,524.5,56.5,2.5,54.3,2019
Johor,female,2020-01-01,646.7003017924125,620.5957713943462,26.10453039806625,634.1549039263614,50.489727402833594,4.036573096643718,48.6,2020
Johor,female,2021-01-01,645.6912675400359,616.5599094866252,29.13135805341069,641.6961891310618,50.15516223916398,4.511654333563433,48.0,2021
Johor,female,2022-01-01,659.3847186074304,632.9585276627245,26.4261909447059,639.8621658590519,50.75130265778529,4.007704485556774,48.8,2022
Johor,male,2019-01-01,1123.4,1091.0,32.5,237.1,82.6,2.9,78.8,2019
Johor,male,2020-01-01,1344.1550344252196,1299.921607340146,44.23342708507346,192.7751654442802,87.45712944799648,3.290798007090627,85.0,2020
Johor,male,2021-01-01,1341.022056687986,1296.6363102064422,44.38574648154374,190.40284701038715,87.56694849675185,3.3098446263565764,84.9,2021
Johor,male,2022-01-01,1354.0043983855342,1316.198573917185,37.805824468349066,178.37135385763037,88.35981621371117,2.79214931010766,86.0,2022
Kedah,both,2019-01-01,950.0,923.6,26.3,551.3,63.3,2.8,63.0,2019
Kedah,both,2020-01-01,904.5,867.0,37.5,520.6,63.5,4.2,60.9,2020
Kedah,both,2021-01-01,916.0,880.1,35.9,521.9,63.7,3.9,61.3,2021
Kedah,both,2022-01-01,928.0,900.4,27.6,518.4,64.2,3.0,62.3,2022
Kedah,female,2019-01-01,357.8,347.6,10.2,377.8,48.6,2.8,48.3,2019
Kedah,female,2020-01-01,323.68341049935924,309.75873945822775,13.924671041131464,370.3175551979032,46.64019597928869,4.301941523555168,44.6,2020
Kedah,female,2021-01-01,337.28603417578864,320.0709493322587,17.21508484352993,364.8137526200345,48.039614954885955,5.104001677863032,45.7,2021
Kedah,female,2022-01-01,338.2647430386485,323.16112510743966,15.10361793120879,368.135663676952,47.88569483013268,4.465028721448254,45.8,2022
Kedah,male,2019-01-01,592.1,576.0,16.1,173.5,77.3,2.7,77.1,2019
Kedah,male,2020-01-01,580.8487084160793,557.2344297836102,23.614278632469095,150.32240358166797,79.44087216862978,4.065478375059669,76.3,2020
Kedah,male,2021-01-01,578.6826932213226,560.0288075607011,18.653885660621388,157.05932959141202,78.6529347622451,3.2235084752201217,76.2,2021
Kedah,male,2022-01-01,589.7294667922213,577.2790767608163,12.450390031404991,150.25449855178124,79.69489805337456,2.111203650570105,78.1,2022
Kelantan,both,2019-01-01,710.5,682.4,28.1,495.4,58.9,4.0,56.8,2019
Kelantan,both,2020-01-01,645.2,617.9,27.3,496.4,56.5,4.2,54.1,2020
Kelantan,both,2021-01-01,644.2,618.2,26.0,509.8,55.8,4.0,53.6,2021
Kelantan,both,2022-01-01,658.0,634.4,23.7,511.1,56.3,3.6,54.3,2022
Kelantan,female,2019-01-01,264.6,250.9,13.7,336.4,44.0,5.2,42.2,2019
Kelantan,female,2020-01-01,237.45498970781955,224.8998610772115,12.555128630608031,332.5449329545429,41.658775776444315,5.287371996712597,39.4,2020
Kelantan,female,2021-01-01,238.13251316162015,226.1402101957488,11.992302965871357,338.58962795504874,41.290683361061866,5.035978836595152,39.2,2021
Kelantan,female,2022-01-01,242.3944147313206,232.46379661810192,9.930618113218692,341.56769075249514,41.50858633720685,4.09688404917505,39.8,2022
